,APP_NAME,SENSOR_SCORE,VISIBILITY,INTERNATIONALIZATION,KEYWORDS
0,Space Chase,0,8,15,"['space', 'odyssey', 'chasing', 'orbiter', 'chase']"
1,Alto's Adventure,85,83,81,"['snow', 'sky', 'safari', 'flip', 'inside', 'alto', 'rider', 'journey', 'jump', 'adventure', 'slide', 'monument', 'unity', 'fly', 'choice', 'tricky', 'snowboard', 'skiing', 'endless', 'valley', 'last', 'tiny', 'platform', 'head', 'fr', 'llama', 'graphic', 'diving', 'snowboarding', 'high', 'trigger']"
2,Alto's Odyssey,87,84,81,"['arlo', 'inside', 'ubisoft', 'adventure', 'monument', 'bacon', 'zen', 'surf', 'badland', 'ride', 'platformer', 'oasis', 'snowboard', 'end', 'endless', 'odyssey', 'explore', 'steep', 'bastion', 'swordigo', 'surfing', 'mars', 'llama', 'graphic', 'snowboarding', 'infinite', 'alpaca', 'weird', 'fall', 'chill', 'desert']"
3,Space Frontier 2,54,62,69,"['dune', 'space', 'frontier', 'rocket', 'powder', 'horizon', 'cosmo', 'trouble', 'hovercraft', 'odyssey', 'steep', 'mars', 'scoops', 'bonfire', 'spaceship', 'pinout', 'expedition', 'rookie', 'corsair', 'upright', 'flippy', 'enceladus', 'astronaut', 'came', 'rocketship', 'nonstop', 'hyperdrive', 'fusee', 'f18', 'vertical', 'missile']"
4,Space Frontier 2,54,62,69,"['dune', 'space', 'frontier', 'rocket', 'powder', 'horizon', 'cosmo', 'trouble', 'hovercraft', 'odyssey', 'steep', 'mars', 'scoops', 'bonfire', 'spaceship', 'pinout', 'expedition', 'rookie', 'corsair', 'upright', 'flippy', 'enceladus', 'astronaut', 'came', 'rocketship', 'nonstop', 'hyperdrive', 'fusee', 'f18', 'vertical', 'missile']"
5,Spaceflight Simulator,93,85,77,"['pandemic', 'simulator', 'space', 'apollo', 'rocket', 'moon', 'nasa', 'unity', 'planet', 'blueprint', 'orbit', 'dictator', 'hovercraft', 'fuse', 'ftl', 'plaque', 'lunar', 'universe', 'gravity', 'assembly', 'mars', 'launch', 'impact', 'plug', 'spaceship', 'scope', 'saturn', 'nuclear', 'colony', 'built', 'lac']"
