KEYWORD,TRAFFIC,DIFFICULTY
mission,2.8,7.5
nintendo,6.8,8.2
chase,6.3,9.5
ff,4.5,6.9
funny,4.3,6.9
skate,5.4,6.9
running,5.3,8.4
knot,4.5,6.5
sports,5.2,9.2
ea,4.5,9.2
softball,3.4,6.8
snow,6.3,7.7
advertising,1.7,7.7
branding,1.5,7.1
journey,4.9,7.8
rayman,4.7,8.6
psych,7.1,7.5
inside,5.0,7.6
peggle,4.5,5.5
partymasters,4.2,9.1
luigi,3.0,7.6
leprechaun,2.9,9.3
paint,6.1,8.5
pages,6.0,8.8
scribble,4.3,8.5
keynes,0.7,9.5
music,7.4,9.4
crash,5.0,7.8
amerigo,4.4,9.5
helix,3.9,8.2
hex,3.2,9.0
slides,6.1,9.2
stack,4.9,8.4
uno,7.3,9.5
1111,4.4,9.3
surf,4.1,7.5
pitfall,3.6,7.7
squishy,6.0,7.5
digit,5.4,8.7
115,2.8,7.8
skydive,2.4,7.3
pluto,4.9,7.7
centerpoint,4.5,3.7
venus,3.6,8.9
colony,2.7,5.8
saturn,2.3,5.8
cosmonaut,0.5,5.9
blizzard,4.5,6.9
battlefield,4.1,7.7
starcraft,3.6,5.7
battlefront,3.3,6.5
modern,3.2,9.0
trek,2.9,6.6
art,6.0,8.7
black,4.5,7.0
blackhole,4.4,4.9
minimal,1.7,4.5
tracker,5.0,8.2
eyes,4.2,7.6
three,3.1,9.4
den,2.4,8.0
horror,4.9,7.2
infected,3.8,6.2
beware,1.9,8.2
stickman,5.7,6.9
water,5.1,7.0
hitman,4.7,8.2
watch,5.7,7.5
night,3.9,8.1
sign,3.7,7.5
starmap,3.0,8.4
estrella,1.6,7.5
chapters,5.8,7.1
spark,5.3,6.5
tesla,5.2,7.3
momo,5.1,4.7
robot,5.0,7.5
scratch,4.9,6.3
max,4.9,6.1
cleo,4.9,9.0
pomodoro,4.7,5.8
pia,4.6,8.3
ellen,4.5,7.8
hunter,4.3,7.6
steve,4.2,8.1
ben,3.6,5.4
character,3.5,7.3
joe,3.4,7.9
dummy,3.2,7.1
charlie,3.2,7.0
bill,3.2,8.4
battalion,0.9,8.4
break,3.2,7.2
tycoon,5.8,9.0
mine,4.5,7.6
rich,3.1,8.2
geometry,4.5,8.1
bridge,4.4,5.5
test,4.0,8.7
mul,0.8,9.2
live,5.6,7.9
rpg,5.9,8.1
drums,4.8,8.1
real,3.8,7.3
gametime,3.6,9.3
