,APP_NAME,SENSOR_SCORE,VISIBILITY,INTERNATIONALIZATION,KEYWORDS
8,Satellite Tracker,73,61,80,"['starz', 'maps', 'sky', 'radio', 'skyview', 'live', 'ins', 'space', 'tracker', 'education', 'dish', 'nasa', 'find', 'stargazer', 'fly', 'sign', 'sat', 'detector', 'starmap', 'single', 'skywalk', 'guide', 'appradio', '242', 'second', '2nd', 'international', 'protracker', 'javan', 'kerbal', 'serious']"
9,Pixel Starships,79,56,80,"['starz', 'citizen', 'sky', 'rpg', 'watch', 'war', 'mmorpg', 'clash', 'civilization', 'pocket', 'space', 'train', 'play', 'pixel', 'coc', 'fallout', 'eve', 'ganes', 'mmo', 'fleet', 'entertainment', 'blizzard', 'td', 'tower', 'number', 'fly', 'royale', 'pix', 'ftl', 'bazi', 'starship']"
0,Auralux: Constellations,63,50,59,"['puzzle', 'juegos', 'space', 'multiplayer', 'studio', 'drums', 'rts', 'minimalist', 'real', 'constellation', 'indie', 'gametime', 'dos', 'coop', 'mw2', 'multi', 'mobike', '242', 'second', 'realtime', 'teg', '2nd', 'minimal', 'dwarf', 'kerbal', 'mul', 'aerospace', 'judas', 'spacetime', 'mindless', 'grazie']"
1,Space Rocket,59,51,59,"['call', 'farm', 'space', 'bird', 'farming', 'evolution', 'construction', 'calling', '17', 'tone', 'angry', 'lunar', 'duty', 'mudding', 'shuttle', 'blackops', 'seventeen', 'landing', 'isa', 'freecall', 'stimulation', 'ang', 'rocketship', 'kerbal', 'cellphone', '2017', 'mutation', 'equipment', 'aerospace', 'evolving', 'evolutionary']"
2,星际雷霆-全民打飞机雷电单机游戏,66,45,46,"['sonic', 'teams', 'starz', 'battleship', 'juegos', 'airplay', 'war', 'simulator', 'arcade', 'pocket', 'space', 'shooting', 'halo', 'galaga', 'pacman', 'battle', 'shooter', 'fighting', 'fight', '1945', 'alien', 'battlefield', 'starship', 'man', 'camp', 'classic', 'battlefront', 'pac', 'taken', 'spaceship', 'mugen']"
3,Nova Empire,81,57,75,"['sims', 'starz', 'ark', 'battleship', 'war', 'space', '3d', 'eve', 'battle', 'fleet', 'nova', 'empire', 'centerpoint', 'building', 'galaxy', 'action', 'starcraft', 'commander', 'spaceship', 'trek', 'colony', 'scifi', 'creating', 'ailment', 'dwarf', 'kerbal', 'conflict', 'guerrilla', 'gera', 'vga', 'battalion']"
4,RoverCraft Space Racing,71,55,64,"['car', 'racing', 'juegos', 'raft', 'simulator', 'arcade', 'space', 'rover', 'build', 'entertainment', 'building', 'planet', 'nfs', 'hovercraft', 'astro', 'hill', 'mountain', 'smoke', 'mudding', 'dirt', 'corgi', 'midway', 'blockworld', 'stoner', 'aventura', 'original', 'lap', 'creating', 'kerbal', 'dealership', 'blunt']"
5,Rocket Sky!,87,63,66,"['ups', 'discover', 'sky', 'simulator', 'quik', 'arcade', 'space', 'fun', 'ganes', 'fast', 'action', 'planet', 'fly', 'orbit', 'explore', 'bazi', 'launcher', 'spaceship', 'casual', 'midway', 'planetarium', 'astronaut', 'diversion', 'decoration', 'original', 'rocketship', 'kerbal', 'gabby', 'planetary', 'fer', 'aerospace']"
6,Space Frontier,67,53,69,"['gamestop', 'sky', 'square', 'juegos', 'quik', 'arcade', 'kids', 'block', 'space', 'fun', '3d', 'play', 'frontier', 'ways', 'tap', 'squarespace', 'speedway', 'speed', 'nasa', 'girl', 'tower', 'playboy', 'gamefly', 'action', 'cube', 'fly', 'hit', 'path', 'keychain', 'boy', 'casual']"
7,Spaceflight Simulator,76,55,75,"['skyview', 'simulator', 'space', 'play', 'education', 'apollo', 'simple', 'nasa', 'flight', 'science', 'moon', 'made', 'rfs', 'universe', 'launcher', 'falcon', 'iss', 'shuttle', 'facade', 'metalstorm', 'role', 'researcher', 'gamecube', 'fsx', 'rocketship', 'joey', 'kerbal', 'cessna', 'educate', 'similar', 'jpl']"
8,DBBL Rocket,53,40,52,"['nexus', 'rocketship', 'bangladesh', 'dbbl', 'rocket']"
9,Space Rocket,59,51,59,"['call', 'farm', 'space', 'bird', 'farming', 'evolution', 'construction', 'calling', '17', 'tone', 'angry', 'lunar', 'duty', 'mudding', 'shuttle', 'blackops', 'seventeen', 'landing', 'isa', 'freecall', 'stimulation', 'ang', 'rocketship', 'kerbal', 'cellphone', '2017', 'mutation', 'equipment', 'aerospace', 'evolving', 'evolutionary']"
