,APP_NAME,SENSOR_SCORE,VISIBILITY,INTERNATIONALIZATION,KEYWORDS
0,AMAZE!!!,93,72,67,"['coloring', 'flo', 'puzzle', 'slides', 'paint', 'voodoo', 'sandbox', 'color', 'amaze', 'io', 'snake', 'house', 'digit', 'ballz', 'arcade', 'block', '3d', 'pop', 'dune', 'pinball', 'ganes', 'knot', 'entertainment', 'splash', 'vortex', 'sand', 'eso', 'chain', '99', 'picker', 'fireball']"
1,Stack Jump,84,62,75,"['ups', 'juegos', 'doom', 'snake', 'ballz', 'merge', 'arcade', 'block', 'frag', 'dune', 'alto', 'stack', 'ganes', 'jump', 'ff', 'fire', 'action', 'vortex', 'hit', '99', 'splashy', 'fireball', 'high', 'ballgame', 'casual', 'mobike', 'jumping', 'climb', 'midway', 'glider', 'blaster']"
2,Rise Up,87,65,77,"['uno', 'ups', 'doom', 'keep', 'ballz', 'arcade', 'dune', 'crash', 'bubble', 'ganes', 'cloud', 'adventure', '1111', 'gamefly', 'rise', 'fly', 'hit', 'balloon', 'pass', '99', 'skyline', 'ballgame', 'smosh', 'casual', 'midway', 'blaster', '1000', 'decoration', 'original', '14', 'guard']"
3,Stack Ball 3D,98,74,74,"['xbox', 'coloring', 'ups', 'color', 'amaze', 'juegos', 'digit', 'ballz', 'arcade', 'aa', 'block', '3d', 'dune', 'stack', 'ganes', 'jump', 'knot', 'tower', 'slope', 'partymasters', 'disc', 'bounce', 'action', 'blast', 'spiral', 'vortex', '2020', 'dad', 'chain', '99', 'splashy']"
4,Temple Run 2,95,75,83,"['psych', 'subway', 'madden', 'baseball', 'sky', 'juegos', 'run', 'doom', 'kids', 'studio', 'simcity', 'inside', 'dune', 'family', 'fallout', 'coin', 'ganes', 'asphalt', 'rayman', 'adventure', 'grab', 'peggle', 'jetpack', 'entertainment', 'slope', 'action', 'bazi', 'bat', 'pitfall', 'idol', 'dos']"
5,Tiles Hop - EDM Rush,99,79,69,"['music', 'piano', 'line', 'coloring', 'home', 'squishy', 'sky', 'color', 'guitar', 'amaze', 'racing', 'bts', 'ballz', 'arcade', 'beats', 'water', 'race', '3d', 'ganes', 'drums', 'dash', 'tap', 'jump', 'osu', 'geometry', 'songpop', 'hop', 'amerigo', 'fly', 'vortex', 'subzero']"
6,Racing Penguin,77,85,62,"['pubg', 'gamepigeon', 'subway', 'car', 'snow', 'ups', 'gamestop', 'township', 'slides', 'drawing', 'draw', 'run', 'doom', 'baby', 'snake', 'sling', 'update', 'drift', 'arcade', 'kids', 'ins', 'block', 'apex', 'race', 'pigeon', 'myspace', 'dune', 'ganes', 'jump', 'candy', 'po']"
7,Flow Free,88,76,63,"['sudoku', 'line', 'tetris', 'flo', 'puzzle', '2048', 'amaze', 'match', 'elevate', 'connect', 'digit', 'garmin', 'aa', 'kids', 'fun', 'play', 'family', 'dots', 'brain', 'ganes', 'girl', 'entertainment', 'relax', 'bridge', 'logic', 'bored', 'spiral', 'gameboy', 'bazi', 'ani', 'yeecall']"
8,Minion Rush,94,77,89,"['sonic', 'subway', 'lego', 'mario', 'tom', 'messages', 'run', 'ninja', 'running', 'arcade', 'meme', 'kids', 'vector', 'family', 'ganes', 'dash', 'bird', 'stampede', 'metro', 'speed', 'sup', 'jetpack', 'entertainment', 'minion', 'boxer', 'surf', 'banana', 'gold', 'knight', 'bazi', 'pitfall']"
9,Bored Button,71,59,50,"['uno', 'puzzle', 'juegos', 'match', 'box', 'arcade', 'ins', 'fun', 'studio', 'play', 'dune', 'city', 'ganes', 'tap', 'rider', 'offline', 'girl', 'entertainment', 'adult', '1111', 'bored', 'pictoword', 'instant', 'bazi', 'ami', 'mining', 'dos', 'button', 'cc', 'jam', 'friv']"
0,Splashy!,77,59,71,"['baseball', 'squishy', 'doom', 'snake', 'ballz', 'arcade', 'dune', 'ganes', 'shooter', 'jump', 'adventure', 'entertainment', 'hop', 'bounce', 'splash', 'helix', 'gameboy', 'vortex', 'bat', 'hit', '99', 'hex', 'boy', 'pelota', 'ocho', 'ballgame', 'casual', 'jumping', 'midway', 'mbl', 'glider']"
1,Red Ball 4,85,66,65,"['nintendo', 'mario', 'juegos', 'switch', 'run', 'ballz', 'arcade', 'redbubble', 'dune', 'crash', 'ganes', 'tap', 'jump', 'adventure', 'sup', 'partymasters', 'bounce', 'action', 'redball', 'vortex', 'hit', 'gametime', 'dodgeball', 'ad', '99', 'splashy', 'premium', 'fireball', 'luigi', 'pokey', 'leprechaun']"
2,Ball's Journey,57,40,73,"['baseball', 'idle', 'money', 'doom', 'canon', 'ballz', 'arcade', 'world', 'dune', 'journey', 'jump', 'adventure', 'gamefly', 'action', 'planet', 'fly', 'bat', '99', 'launcher', 'idk', 'pelota', 'ballgame', 'ie', 'casual', 'jumping', 'midway', 'mbl', 'glider', 'blaster', 'backyard', 'planetarium']"
3,Dune Surfer,70,52,61,"['drawing', 'draw', 'stickman', 'run', 'doom', 'sling', 'arcade', 'race', 'vector', 'dune', 'ways', 'rider', 'jump', 'hitman', 'scribble', 'action', 'surf', 'man', 'rescue', 'path', 'valley', 'dexter', 'lab', 'casual', 'vex', 'jumping', 'midway', 'sti', 'droid', 'original', 'sxs']"
4,Clean Road,89,64,73,"['drive', 'car', 'snow', 'arcade', 'fun', '3d', 'dune', 'driving', 'ganes', 'overtake', 'clean', 'action', 'bazi', 'road', 'rescue', 'fastlane', 'easy', 'killing', 'casual', 'corgi', 'snowman', 'midway', 'takeover', 'decoration', 'original', 'dri', 'geisha', 'cutie', 'snowflake', 'gabby', 'cruising']"
2,FGTeeV Ape Chase!,77,63,50,"['chase', 'arcade', 'ganes', 'entertainment', 'hero', 'funny', 'action', 'endless', 'bazi', 'five', 'ape', 'crazy', 'casual', 'jumper', 'bouncer', 'cg', 'midway', 'eight', 'decoration', 'original', 'gabby', 'jpm', 'chasing', 'fer', 'keynes', 'entertaining', 'cinco', 'fgteev']"
4,The Chase: Cop Pursuit,78,76,53,"['pubg', 'gta', 'car', 'chase', 'racing', 'juegos', 'io', 'run', 'update', 'running', 'drift', 'arcade', 'police', 'apex', 'race', 'vector', 'ganes', 'driver', 'funny', 'budge', 'cf', 'bob', 'please', 'bbg', 'bazi', 'battleground', 'dnf', 'pepsi', 'christmas', '4399', 'robocop']"
