,APP_NAME,SENSOR_SCORE,VISIBILITY,INTERNATIONALIZATION,KEYWORDS
0,Space Chase,0,8,15,"['space', 'chase', 'odyssey']"
1,Alto's Adventure,85,83,81,"['arlo', 'hooked', 'vector', 'inside', 'slope', 'journey', 'adventure', 'jetpack', 'monument', 'ski', 'popular', 'snowboard', 'tricky', 'bored', 'skiing', 'dive', 'odyssey', 'bastion', 'surfing', 'llama', 'diving', 'snowboarding', 'badlands', 'trigger', 'non', 'alpaca', 'skysafari', 'hang', 'demo', 'chill', 'alpine']"
2,Alto's Odyssey,87,84,81,"['arlo', 'inside', 'apollo', 'ubisoft', 'monument', 'snowboard', 'surf', 'oasis', 'steep', 'skiing', 'odyssey', 'explore', 'bastion', 'surfing', 'swordigo', 'llama', 'endless', 'atmosphere', 'snowboarding', 'bonfire', 'badlands', 'alpaca', 'chameleon', 'celeste', 'argus', 'chill', 'catfish', 'desert', 'sparks', 'blockhead', 'ailment']"
3,Space Frontier,61,67,73,"['space', 'frontier', 'apollo', 'alto', 'rocket', 'vodoo', 'orbit', 'ada', 'fuze', 'mars', 'launch', 'spaceship', 'trouble', 'symmetry', 'saturn', 'stacking', 'meteor', 'astronaut', 'kosmic', 'cosmos', 'che', 'lua', 'habitat', 'rocketship', 'arbiter', 'roc', 'missile', 'vertical', 'spacecraft', 'fop', 'usaf']"
4,Space Frontier 2,54,62,69,"['space', 'frontier', 'dust', 'cosmo', 'steep', 'hovercraft', 'odyssey', 'mars', 'launch', 'spaceship', 'pinout', 'vtech', 'henri', 'expedition', 'galactica', 'flippy', 'astronaut', 'kosmic', 'f18', 'rocketship', 'bombshell', 'missile', 'spacecraft', 'bloop', 'moor', 'lenny', 'nave', 'skyrocket', 'rocker', 'martian', 'stg']"
5,Spaceflight Simulator,93,85,77,"['ifruit', 'simulator', 'space', 'apollo', 'rocket', 'powder', 'nasa', 'planet', 'rfs', 'orbit', 'hovercraft', 'lunar', 'nuke', 'mars', 'launch', 'spaceship', 'shuttle', 'saturn', 'assemble', 'nuclear', 'iss', 'built', 'jupiter', 'defcon', 'aya', 'meteor', 'beaker', 'astronaut', 'junkyard', 'plain', 'lua']"
